Gene Set	NES	FDR
MINOR_CD8TEFF	2.0286624	0
IMMUNE_NK	1.8161118	4.05E-04
IMMUNE_CD8T	1.7636642	0.001389318
IMMUNE_CD8TEX	1.7231448	0.002507268
MINOR_CD4TEFF	1.71443	0.002005814
MINOR_CD8TEM	1.6130124	0.005467151
MINOR_CD8TCM	1.567045	0.010135215
MINOR_TH17	1.5135057	0.019089103
IMMUNE_TREG	1.5126972	0.017063329
MINOR_MAIT	1.5032989	0.016806146
IMMUNE_CD4TCONV	1.3754901	0.062350426
MINOR_CDC2	1.3742212	0.05779438
MINOR_CD4TN	1.3425244	0.07075025
MINOR_TH1	1.282176	0.118631676
IMMUNE_DC	1.2785616	0.113974296
IMMUNE_TMKI67	1.2616936	0.1269567
IMMUNE_PLASMA	1.2171376	0.17592247
IMMUNE_PDC	1.1986343	0.19427465
MINOR_MONOCYTE	1.164562	0.2441501
MINOR_M1	1.1406847	0.2795605
IMMUNE_B	1.1169361	0.3179875
MINOR_TH2	1.0742416	0.41499108
IMMUNE	1.0051997	0.6314854
MINOR_CDC1	0.99920374	0.62719166
IMMUNE_NEUTROPHILS	0.9609863	0.72961545
IMMUNE_MONO/MACRO	0.8785616	0.90180933
IMMUNE_ILC	0.81720203	0.9581527
IMMUNE_MAST	0.7918327	0.9513297
OTHERS	0.5781599	1
MALIGNANT	0.5637762	0.99252915
STROMAL	NA	1
STROMAL_MYOFIBROBLASTS	NA	1
STROMAL_FIBROBLASTS	NA	1
STROMAL_ENDOTHELIAL	NA	1
STROMAL_OTHERS	-1.8138429	0.002329873
MINOR_M2	-0.9754844	0.24444437
MINOR_CD8TN	-0.95665663	0.22314219
