"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"s__Campylobacter jejuni",17.0706326656899,-26.1413981225925,2.91839134670405,-8.95746835054039,3.32218042159991e-19,3.6244988399655e-16,TRUE,"species"
"f__Moraxellaceae",818.553774337213,-2.67383701711281,0.543109708091888,-4.92319871524084,8.51409172415442e-07,7.91810530346361e-05,TRUE,"family"
"s__Acinetobacter calcoaceticus",745.589879243108,-2.60352254103593,0.617228840613905,-4.21808309936785,2.46388020361065e-05,0.0134404665106961,TRUE,"species"
"o__Micrococcales",13.6250486632694,-2.48742441271547,0.63291707529198,-3.93009528391688,8.49122056991952e-05,0.013501040706172,TRUE,"order"
"g__Acinetobacter",839.985852853812,-2.40080729252164,0.593346874086609,-4.0462120849923,5.20530765776187e-05,0.0279525021221812,TRUE,"genus"
"f__Baculoviridae",2.80580474245852,-2.46639707757863,0.755447274590017,-3.26481696411857,0.0010953483325033,0.0347919746400051,TRUE,"family"
"f__Microbacteriaceae",8.47870638206549,-2.6186812245701,0.82468404592464,-3.17537514822907,0.00149642901677441,0.0347919746400051,TRUE,"family"
"f__Porphyromonadaceae",4.87526099408923,-7.30702831552357,2.27833705201605,-3.20717617661432,0.00134044877711212,0.0347919746400051,TRUE,"family"
"p__Uroviricota",6068.51151000152,1.72010764339493,0.522660072203304,3.2910638001172,0.000998092739527283,0.045912266018255,TRUE,"phylum"
"k__Heunggongvirae",5918.10268031769,1.65312374607886,0.52144424492863,3.17027901286958,0.00152292625145547,0.0654858288125852,FALSE,"kingdom"
"k__unclassified-p__Chloroflexi",9.56072408222047,-2.25556738741418,0.775836203828617,-2.90727266436311,0.00364595245988993,0.0783879778876335,FALSE,"kingdom"
"k__unclassified-p__Proteobacteria",737.832685214377,-0.844643570367086,0.307826305818937,-2.74389665340656,0.00607146487613973,0.0870243298913361,FALSE,"kingdom"
"p__Chloroflexi",9.3403035278273,-2.21882235132238,0.769187334014477,-2.88463193971499,0.00391871512932785,0.0901304479745406,FALSE,"phylum"
"f__Cryptosporidiidae",2.68179353034565,-2.00774515511579,0.728597730075556,-2.75562916577792,0.00585793700863033,0.0925172971336338,FALSE,"family"
"f__Methylobacteriaceae",26.9472792314116,-3.34033890822937,1.29589631070377,-2.57762822583801,0.00994809646598213,0.0925172971336338,FALSE,"family"
"f__Mycobacteriaceae",6.28489643722317,-1.81797979663972,0.685841307755024,-2.65072951436906,0.00803181357039339,0.0925172971336338,FALSE,"family"
"f__Staphylococcaceae",3.6690173212927,-3.70072936460951,1.37557637778697,-2.69031180265195,0.00713852863644692,0.0925172971336338,FALSE,"family"
"f__Streptomycetaceae",26.0502595351541,-1.69310960837311,0.622053093463548,-2.72180883941271,0.00649256869222714,0.0925172971336338,FALSE,"family"
"f__Synechococcaceae",2.2009896125489,-4.04961210243922,1.55419999733247,-2.60559265820983,0.00917154628644308,0.0925172971336338,FALSE,"family"
"f__Pyriculariaceae",1.92697358254986,-1.84299559194287,0.729579394909661,-2.5261069662899,0.0115334359021401,0.0975099580817302,FALSE,"family"
"f__Simkaniaceae",1.32060012141806,-3.41978010930092,1.37890507008335,-2.48006928359049,0.0131356856241833,0.101801563587421,FALSE,"family"
"k__unclassified-p__Actinobacteria",101.964924850304,-0.895420075902335,0.357454039015098,-2.50499358846107,0.0122453613121672,0.105310107284638,FALSE,"kingdom"
"k__unclassified-p__Thermotogae",9.2489911713592,-1.33088689835389,0.529055849269928,-2.51558866647152,0.0118833782194676,0.105310107284638,FALSE,"kingdom"
"f__Gemmataceae",2.72569835402664,-1.76884547859869,0.751157660972833,-2.35482585148347,0.0185313881982522,0.125917212099954,FALSE,"family"
"f__Micromonosporaceae",1.68006107781756,-3.68854588548047,1.58328714038018,-2.32967589479365,0.0198232875106877,0.125917212099954,FALSE,"family"
"f__Siphoviridae",1795.71343180518,0.729543770894649,0.31437918746679,2.32058545851327,0.0203092277580571,0.125917212099954,FALSE,"family"
"o__Thermotogales",10.4194334997614,-1.66615835720169,0.554292273600715,-3.00592022756917,0.00264778451365691,0.210498868835724,FALSE,"order"
"c__Thermotogae",10.2194829035846,-1.63270079362399,0.538508547300624,-3.03189392593341,0.0024302458845337,0.216291883723499,FALSE,"class"
