"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level"
"1","k__Bamfordvirae",10.1346861692711,-0.0346640821719019,0.110163916711452,-0.314659129837368,0.753020478685965,0.996893775111712,FALSE,"kingdom"
"2","k__Fungi",1360.92513127859,-2.24433954446377,0.388101776646876,-5.7828633608803,7.34397133587834e-09,3.5251062412216e-07,TRUE,"kingdom"
"3","k__Heunggongvirae",4287.65379138422,1.07984581676962,0.462032357045278,2.33716491995342,0.0194306104476625,0.18653386029756,FALSE,"kingdom"
"4","k__Orthornavirae",10.0220101129331,0.00095740012445006,0.110825507660264,0.00863880657677629,0.993107315341071,0.996893775111712,FALSE,"kingdom"
"5","k__Pararnavirae",15.2275006093662,0.214952590913039,0.120047392596269,1.79056442846656,0.0733632195807844,0.503062077125379,FALSE,"kingdom"
"6","k__Shotokuvirae",10.1065171551866,0.0229816765223182,0.110527716378045,0.207926819402588,0.835286107935392,0.996893775111712,FALSE,"kingdom"
"7","k__unclassified-c__Candidatus",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"8","k__unclassified-c__Naldaviricetes",21.2002900081866,-0.0534116463216193,0.0780609972265379,-0.684229618110251,0.493830182338185,0.996893775111712,FALSE,"kingdom"
"9","k__unclassified-f__Candidatus",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"10","k__unclassified-g__Pandoravirus",10.1346861692711,-0.0346640821719018,0.110163916711423,-0.314659129837452,0.753020478685901,0.996893775111712,FALSE,"kingdom"
"11","k__unclassified-p__Acidobacteria",14.0437354572777,-0.0198173727592521,0.093804646169028,-0.211262166306164,0.83268270353968,0.996893775111712,FALSE,"kingdom"
"12","k__unclassified-p__Actinobacteria",1349.01718312031,-0.126114659436529,0.064929101161247,-1.9423441443203,0.0520954522851497,0.416763618281198,FALSE,"kingdom"
"13","k__unclassified-p__Apicomplexa",1446.32633039291,-0.859123921653785,0.302463471162851,-2.84042207923753,0.00450538782633008,0.0540646539159609,FALSE,"kingdom"
"14","k__unclassified-p__Aquificae",4.00880404517322,0.000957337079400046,0.174456658430619,0.00548753534552411,0.995621602245438,0.996893775111712,FALSE,"kingdom"
"15","k__unclassified-p__Armatimonadetes",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"16","k__unclassified-p__Bacteroidetes",359.769394367387,-0.0573701884465169,0.057071343733011,-1.0052363356802,0.314783062602339,0.996893775111712,FALSE,"kingdom"
"17","k__unclassified-p__Candidatus",16.1057718204589,0.00735915664027857,0.0876593649065683,0.0839517448948247,0.933094798255232,0.996893775111712,FALSE,"kingdom"
"18","k__unclassified-p__Chlamydiae",13.0415157695355,0.0163492968727843,0.106836650129891,0.153030789086956,0.878373995068646,0.996893775111712,FALSE,"kingdom"
"19","k__unclassified-p__Chlorobi",3.99443826051056,-0.00832483484006448,0.174714136740784,-0.0476483185354124,0.961996523112802,0.996893775111712,FALSE,"kingdom"
"20","k__unclassified-p__Chloroflexi",25.8668043690075,-0.0238401559217612,0.144390063834377,-0.165109393878426,0.868857879245652,0.996893775111712,FALSE,"kingdom"
"21","k__unclassified-p__Chrysiogenetes",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"22","k__unclassified-p__Coprothermobacterota",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"23","k__unclassified-p__Crenarchaeota",10.1624469028477,0.0293715354529717,0.110381525028775,0.266091045990848,0.790169090758105,0.996893775111712,FALSE,"kingdom"
"24","k__unclassified-p__Cyanobacteria",72.8495898014935,0.0213916302288309,0.0417033914752788,0.512947016347858,0.60798838376614,0.996893775111712,FALSE,"kingdom"
"25","k__unclassified-p__Deferribacteres",3.99443826051056,-0.00832483484006448,0.174714136740784,-0.0476483185354124,0.961996523112802,0.996893775111712,FALSE,"kingdom"
"26","k__unclassified-p__Deinococcus",18.3200748573421,0.0189861293309734,0.0825698288131183,0.229940277264533,0.818138178014542,0.996893775111712,FALSE,"kingdom"
"27","k__unclassified-p__Elusimicrobia",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"28","k__unclassified-p__Euglenozoa",9.22219428282527,-0.258687875795364,0.405983240835031,-0.637188557988975,0.524002029762063,0.996893775111712,FALSE,"kingdom"
"29","k__unclassified-p__Euryarchaeota",36.2189382478229,0.0202873604911294,0.0587775088636475,0.345155160253426,0.729977726580785,0.996893775111712,FALSE,"kingdom"
"30","k__unclassified-p__Fibrobacteres",2.00440202258661,0.000957280292017297,0.245892446124758,0.00389308540015745,0.996893775111712,0.996893775111712,FALSE,"kingdom"
"31","k__unclassified-p__Firmicutes",17199.3578013895,-0.264083796022712,0.202112091342029,-1.30662047119096,0.191341640587234,0.996893775111712,FALSE,"kingdom"
"32","k__unclassified-p__Fusobacteria",73.8444749743669,0.566533809316864,0.191673354065627,2.95572544279102,0.00311934634060032,0.0499095414496052,TRUE,"kingdom"
"33","k__unclassified-p__Gemmatimonadetes",5.99884028309717,-0.00522451619209281,0.142864417241652,-0.036569751187629,0.970828062445611,0.996893775111712,FALSE,"kingdom"
"34","k__unclassified-p__Ignavibacteriae",4.00880404517322,0.000957337079400046,0.174456658430619,0.00548753534552411,0.995621602245438,0.996893775111712,FALSE,"kingdom"
"35","k__unclassified-p__Nitrospirae",4.00880404517322,0.000957337079400046,0.174456658430619,0.00548753534552411,0.995621602245438,0.996893775111712,FALSE,"kingdom"
"36","k__unclassified-p__Planctomycetes",72.987043755375,0.162772262989449,0.0967670954535148,1.68210342809805,0.0925487857598403,0.555292714559042,FALSE,"kingdom"
"37","k__unclassified-p__Proteobacteria",2645.25601413603,0.102664231409327,0.108141306344481,0.949352609837104,0.342441304438349,0.996893775111712,FALSE,"kingdom"
"38","k__unclassified-p__Spirochaetes",73.0399217385902,0.0453349711696545,0.0513946788432567,0.882094648512484,0.377725625926829,0.996893775111712,FALSE,"kingdom"
"39","k__unclassified-p__Synergistetes",8.03137121869875,-0.0251252094148672,0.123650432193353,-0.20319548398811,0.838982242464901,0.996893775111712,FALSE,"kingdom"
"40","k__unclassified-p__Tenericutes",26.0572262936259,0.000957461096686493,0.0690261653477585,0.0138709877893801,0.988932907893596,0.996893775111712,FALSE,"kingdom"
"41","k__unclassified-p__Thaumarchaeota",14.5669544598628,-0.0659372155922047,0.0923454575962893,-0.714027709738202,0.475210045114112,0.996893775111712,FALSE,"kingdom"
"42","k__unclassified-p__Thermotogae",10.1064289668312,-0.0258501161879659,0.110560388175019,-0.23380992609256,0.815132543236174,0.996893775111712,FALSE,"kingdom"
"43","k__unclassified-p__Verrucomicrobia",22.4984956433327,0.0647916429390812,0.0748558849627854,0.865551759508185,0.38673601990523,0.996893775111712,FALSE,"kingdom"
