"sample","Acinetobacter","Acinetobacter calcoaceticus","Baculoviridae","Campylobacter jejuni","Microbacteriaceae","Micrococcales","Moraxellaceae","Porphyromonadaceae","Uroviricota"
"SL251102",1.96113178203193e-06,1.64638223676755e-07,0,0,4.842301e-09,1.4526902e-08,2.07734698203193e-06,0,3.631726e-07
"SL257956",7.5110172883955e-07,1.52662953016169e-08,0,0,0,2.37848885e-06,7.8163431883955e-07,3.053259e-09,7.633148e-08
"SL271795",2.1487737218225e-05,1.97920788547999e-05,5.2359992e-08,0,1.16803072e-07,1.81246146e-07,2.1515931058225e-05,0,3.1415996e-07
"SL310764",2.9482685653076e-08,0,0,0,0,0,2.9482685653076e-08,2.18171898e-06,3.066199e-07
"SL310813",6.073445471568e-09,6.073445471568e-09,0,0,0,0,6.073445471568e-09,0,9.055507e-06
"SL319197",2.27009285061134e-08,4.54018570122269e-09,0,0,0,0,2.27009285061134e-08,0,3.627608e-06
"SL337466",1.20429259981145e-08,4.01430866603816e-09,4.014309e-09,0,1.2042926e-08,1.00357713e-07,1.20429259981145e-08,0,2.609301e-07
"SL337489",2.5774422419937e-08,1.80420956939559e-08,0,0,2.5774422e-08,3.0929306e-08,2.8351864419937e-08,0,2.788019e-05
"SL356005",8.0965752423853e-05,8.09622026955692e-05,2.48481e-08,0,8.87432052e-07,9.44227697e-07,8.1075794023853e-05,0,7.454429e-08
"SL356021",5.23478878347042e-07,4.75599712644569e-07,3.191944e-09,0,9.575833e-09,4.1495276e-08,5.29862767347042e-07,0,3.779262e-06
"SL356038",1.0535090410829e-05,1.05309230491159e-05,0,0,1.04184e-07,1.50024983e-07,1.0535090410829e-05,0,7.667946e-07
"SL359722",7.25285515079355e-06,6.94965548552385e-06,7.978939e-09,0,2.659646e-09,7.978938e-09,7.33264454079355e-06,0,2.4176179646e-05
"SL362815",9.2693694596736e-07,4.8397592754048e-07,2.734327e-09,2.111174e-05,2.32417779e-07,3.00775961e-07,1.29880544596736e-06,0.000183358553,1.369898e-06
