"","sample","Debaryomyces hansenii","Delftia lacustris","Enterobacter hormaechei","Fusobacterium nucleatum","Mannheimia sp. USDA-ARS-USMARC-1261","Mollivirus sibericum","Moraxella osloensis","Myroides profundi","Nocardia mangyaensis","Plasmodium sp. gorilla clade G2","Porphyromonas asaccharolytica","Proteus virus Isfahan","Pseudomonas fluorescens","Snyder-Theilen feline sarcoma virus","Theileria annulata"
"1","SL251102",1.0397113023744e-08,1.62581923060016e-09,2.35043773366121e-09,3.85885907910596e-08,3.08810245803396e-09,2.09981519526243e-09,1.43887492734048e-09,7.82729165411139e-09,1.37739757379964e-09,9.16907972300991e-10,1.67273266873378e-08,2.0466537936194e-07,1.57486453920265e-09,1.66904753907424e-09,1.19744126071356e-09
"2","SL257956",1.03971132400217e-08,1.62581926441998e-09,2.35043778255433e-09,1.8657683485815e-09,3.08810252227178e-09,2.09981523894218e-09,1.43887495727154e-09,3.30792111202439e-08,1.75433360824964e-08,9.16907991374246e-10,1.69719838058127e-09,9.53678106866372e-07,1.57486457196253e-09,1.66904757379328e-09,1.19744128562239e-09
"3","SL271795",1.03971331567566e-08,1.62582237884323e-09,2.35044228505854e-09,1.86577192265179e-09,3.08810843784831e-09,2.09981926135324e-09,1.43887771358383e-09,1.49715859152147e-09,1.37740024099799e-09,9.16909747805375e-10,1.69720163173853e-09,9.53679933734422e-07,1.57486758877685e-09,1.66905077102479e-09,1.19744357944376e-09
"4","SL310764",1.65243434948381e-09,1.60348774370963e-09,1.68740777512399e-09,1.49115752791889e-09,1.65576263236976e-09,1.60922511698347e-09,1.53600414333041e-09,1.49938901696859e-09,1.60319348286377e-09,1.84940010218453e-09,1.6361022325145e-09,2.18201269470644e-05,1.58435396273724e-09,1.59603801765536e-09,1.49314544609686e-09
"5","SL310813",7.51551687184528e-09,1.46666527464164e-09,2.27141307185366e-09,2.01979093269859e-08,2.8904996793633e-09,2.63587819675797e-09,9.46937142478033e-09,1.68185632675132e-09,8.82844378617846e-10,1.96682940906832e-08,3.11176451142591e-09,1.95873533842219e-06,7.13579209836788e-09,1.53032110382524e-09,4.94043593718386e-09
"6","SL319197",3.58632576318965e-08,1.49182554535026e-09,2.43129441198008e-09,1.428351474394e-09,3.03593443299178e-09,1.86849548821049e-09,1.21535122803458e-09,1.03093671157928e-08,1.48021513658846e-07,3.91387944703683e-09,1.52059426424081e-09,8.02290730246614e-07,1.53916791844266e-09,1.54934160995927e-09,8.35926845746907e-09
"7","SL337466",3.32991337855773e-08,1.6258215281896e-09,2.35044105527336e-09,5.97554998373581e-09,3.08810682210561e-09,3.69153554226672e-09,1.43887696074234e-09,4.79498372153695e-09,1.37739952032239e-09,3.41231386240551e-08,1.69720074373825e-09,5.24600567329722e-08,1.5748667647835e-09,1.66904989775344e-09,1.19744295292408e-09
"8","SL337489",4.56434621062318e-09,1.49182091288028e-09,2.4312868622378e-09,1.42834703902597e-09,3.03592500569971e-09,1.86848968609155e-09,1.21534745408252e-09,1.17449479104305e-08,8.97821769288302e-10,5.81893598411263e-09,1.52058954243718e-09,4.04247311444083e-07,1.53916313896344e-09,1.54933679888835e-09,1.06389095210069e-09
"9","SL356005",3.13957044476465e-08,1.49182787107582e-09,2.4312982023184e-09,3.15052714832601e-09,3.03593916595155e-09,1.86849840115679e-09,3.11022719332973e-09,1.59965114374818e-09,8.97825956935341e-10,2.00284708888081e-08,1.52059663481621e-09,1.8836776499693e-06,1.539170317974e-09,1.54934402535119e-09,2.34664072236768e-09
"10","SL356021",4.56436777424674e-09,1.49182796078224e-09,2.43129834851695e-09,1.42835378705438e-09,3.03593934850829e-09,1.86849851351312e-09,1.21535319582379e-09,1.71110708435085e-08,8.97826010923308e-10,7.92533796922196e-10,1.52059672625255e-09,9.04582324619363e-06,1.53917041052721e-09,1.54934411851617e-09,1.06389597830663e-09
