"","Debaryomyces hansenii","Delftia lacustris","Enterobacter hormaechei","Fusobacterium nucleatum","Mannheimia sp. USDA-ARS-USMARC-1261","Mollivirus sibericum","Moraxella osloensis","Myroides profundi","Nocardia mangyaensis","Plasmodium sp. gorilla clade G2","Porphyromonas asaccharolytica","Proteus virus Isfahan","Pseudomonas fluorescens","Snyder-Theilen feline sarcoma virus","Theileria annulata","malignant","others","stromal","immune","immune_ILC","immune_Mono.Macro","immune_pDC","immune_DC","immune_Neutrophils","immune_Mast","immune_NK","immune_CD4Tconv","immune_Treg","immune_TMKI67","immune_CD8Tex","immune_CD8T","immune_Plasma","immune_B","minor_Monocyte","minor_M2","minor_M1","minor_cDC2","minor_cDC1","minor_Th17","minor_Th2","minor_Th1","minor_CD4Teff","minor_CD4Tn","minor_MAIT","minor_CD8Teff","minor_CD8Tem","minor_CD8Tcm","minor_CD8Tn","stromal_Others","stromal_Myofibroblasts","stromal_Fibroblasts","stromal_Endothelial"
"SL251102",1.0397113023744e-08,1.62581923060016e-09,2.35043773366121e-09,3.85885907910596e-08,3.08810245803396e-09,2.09981519526243e-09,1.43887492734048e-09,7.82729165411139e-09,1.37739757379964e-09,9.16907972300991e-10,1.67273266873378e-08,2.0466537936194e-07,1.57486453920265e-09,1.66904753907424e-09,1.19744126071356e-09,0.165251876782988,0.0990470222142868,0.172718693658095,0.268983701392593,0.281052883005052,0.337290195016243,0.285083292271713,0.339681168428694,0.229585534868828,0.156206312241155,0.221827118805267,0.199928646208156,0.228237681729627,0.234624476146432,0.347366923367482,0.318238921205073,0.337236546856714,0.280224207513773,0.265407660366561,0.372698073512345,0.250866558049272,0.356303852374022,0.252126333794316,0.198438078515633,0.096455653353927,0.0690521509972959,0.113067885853964,0.377077826872799,-0.0174508871316098,0.192629968247712,0.376902541658172,0.381986035869281,0.361823762707977,0.418743753955817,0.0741432135136037,0.174120349289806,0.190593870368891
"SL257956",1.03971132400217e-08,1.62581926441998e-09,2.35043778255433e-09,1.8657683485815e-09,3.08810252227178e-09,2.09981523894218e-09,1.43887495727154e-09,3.30792111202439e-08,1.75433360824964e-08,9.16907991374246e-10,1.69719838058127e-09,9.53678106866372e-07,1.57486457196253e-09,1.66904757379328e-09,1.19744128562239e-09,0.161014808323756,0.117508323724703,0.26291025127674,0.186491997588762,0.19862429137157,0.260392691423669,0.186258781790311,0.216352683709123,0.135188989227058,0.133241610599239,0.0971538297710803,0.104382353391593,0.0763473234878079,0.0697418405559008,0.20119620861232,0.210432695092869,0.231742852208,0.165663724014681,0.201659167056906,0.347546417956285,0.164789445005718,0.227084551645801,0.0882741907511036,0.102135289768703,0.0337015059361527,-0.0232729191791078,-0.130345100135043,0.295372632640406,0.0600691295683276,0.0255146419796179,0.316942625292708,0.270522152700378,0.351299590804482,0.400099245512427,0.159603429082134,0.300359580163488,0.254462181636173
"SL271795",1.03971331567566e-08,1.62582237884323e-09,2.35044228505854e-09,1.86577192265179e-09,3.08810843784831e-09,2.09981926135324e-09,1.43887771358383e-09,1.49715859152147e-09,1.37740024099799e-09,9.16909747805375e-10,1.69720163173853e-09,9.53679933734422e-07,1.57486758877685e-09,1.66905077102479e-09,1.19744357944376e-09,0.182242437416812,0.127892790804762,0.258494737249194,0.193202588011549,0.203345781951149,0.263765123469599,0.223212517430902,0.258043858431764,0.165975772420422,0.124463080065883,0.0923729212907033,0.106817996525261,0.128494002791197,0.13260728489624,0.19970213892097,0.178233159818494,0.217328497276563,0.18819905737951,0.218912713066307,0.333097277619431,0.169308407896566,0.256661765028764,0.170313804340744,0.081607122380748,0.0309390565773052,-0.022175429235401,-0.075250252069309,0.279853116976293,-0.0963276015360778,-0.00127433074277497,0.236002149598729,0.259890859427265,0.326105662775006,0.390547106890968,0.147738713354676,0.298808383742357,0.253375775942773
"SL310764",1.65243434948381e-09,1.60348774370963e-09,1.68740777512399e-09,1.49115752791889e-09,1.65576263236976e-09,1.60922511698347e-09,1.53600414333041e-09,1.49938901696859e-09,1.60319348286377e-09,1.84940010218453e-09,1.6361022325145e-09,2.18201269470644e-05,1.58435396273724e-09,1.59603801765536e-09,1.49314544609686e-09,0.169089250290154,0.0872167357716712,0.177444706086938,0.206651777281874,0.212733880832718,0.266614453296317,0.156990795338321,0.221206863556646,0.204802101636575,0.131807548763744,0.104884463936439,0.126550910500898,0.0984500629597431,0.201603784075997,0.193994167917422,0.206824834113286,0.269487738076961,0.180625981232286,0.224224235930387,0.352463196099385,0.166043218524458,0.235813324242646,0.238874899974025,0.0911036985714015,0.105071303974395,0.0197523726107537,-0.159147716359437,0.295806822938864,-0.0965184622688767,0.012628562076083,0.330325549443437,0.268257422787643,0.38280283182319,0.437610581941841,0.0912752289710235,0.174835599465624,0.179100437405218
"SL310813",7.51551687184528e-09,1.46666527464164e-09,2.27141307185366e-09,2.01979093269859e-08,2.8904996793633e-09,2.63587819675797e-09,9.46937142478033e-09,1.68185632675132e-09,8.82844378617846e-10,1.96682940906832e-08,3.11176451142591e-09,1.95873533842219e-06,7.13579209836788e-09,1.53032110382524e-09,4.94043593718386e-09,0.16856767828721,0.0942691598186768,0.154265570905648,0.242309466055419,0.21067418333088,0.286628474341218,0.219645243757472,0.309171719187402,0.196629050455048,0.116717522522451,0.214778455863519,0.204293631260293,0.198659719884713,0.281167289369608,0.319362797054736,0.30094996435095,0.304271232287944,0.23977166208318,0.249231051106379,0.332475399005541,0.204460008217992,0.321040997861214,0.272957647194002,0.186635924239512,0.204455473872504,0.107718143382031,0.140483020118572,0.345773904069288,0.041248516180636,0.189831562442069,0.373727311391183,0.350630718887955,0.216599274433515,0.453992706157225,0.0846647531337137,0.140021371168718,0.165695262317601
"SL319197",3.58632576318965e-08,1.49182554535026e-09,2.43129441198008e-09,1.428351474394e-09,3.03593443299178e-09,1.86849548821049e-09,1.21535122803458e-09,1.03093671157928e-08,1.48021513658846e-07,3.91387944703683e-09,1.52059426424081e-09,8.02290730246614e-07,1.53916791844266e-09,1.54934160995927e-09,8.35926845746907e-09,0.150633200766874,0.0920232485737852,0.175971530726478,0.200169620900059,0.238770092739044,0.266885731040714,0.223590475702209,0.265298828204569,0.164001972001331,0.136097144491166,0.154985539100457,0.170014245986872,0.17934651985061,0.10705558146732,0.262855745029597,0.273648909523227,0.201387840902066,0.184481127072169,0.19453963889329,0.356349588223452,0.165847176435634,0.27737460885996,0.196733639237714,0.168921245442372,0.131348275588177,0.0571505224545703,0.00410483181017432,0.335732669635063,0.12065171329051,0.126802964891098,0.343846386168487,0.327583345711215,0.336544740301589,0.385795801119571,0.101298759887902,0.184342665718819,0.16731541736589
"SL337466",3.32991337855773e-08,1.6258215281896e-09,2.35044105527336e-09,5.97554998373581e-09,3.08810682210561e-09,3.69153554226672e-09,1.43887696074234e-09,4.79498372153695e-09,1.37739952032239e-09,3.41231386240551e-08,1.69720074373825e-09,5.24600567329722e-08,1.5748667647835e-09,1.66904989775344e-09,1.19744295292408e-09,0.0755417513407528,0.0605699925092849,0.0686477522298857,0.0680696323162074,0.0716024861010827,0.109846930798862,0.0802134704642061,0.0835432666272631,0.108507803389416,0.0496705407273436,0.091839034856222,0.0296894429860548,0.0761218779717928,0.0785435792139462,0.118241618312866,0.111174020897042,-0.000255709733785581,0.0456681323614088,0.0713488873661365,0.140544900570562,0.0937552357055408,0.0890496533477757,-0.0235124297344736,0.0459962864721786,-0.00907773241293151,-0.0128181838837686,0.0751104390107809,0.0862900777432071,0.110022402520872,0.0820440057366736,0.134394132478497,0.118151092898115,0.416642839508976,0.110680651044822,0.0419159177982356,0.0876543922497587,0.0713770374337767
"SL337489",4.56434621062318e-09,1.49182091288028e-09,2.4312868622378e-09,1.42834703902597e-09,3.03592500569971e-09,1.86848968609155e-09,1.21534745408252e-09,1.17449479104305e-08,8.97821769288302e-10,5.81893598411263e-09,1.52058954243718e-09,4.04247311444083e-07,1.53916313896344e-09,1.54933679888835e-09,1.06389095210069e-09,0.176294246250863,0.111931075599846,0.230246590777673,0.197227382933683,0.231620932661263,0.266353725603461,0.196608598073184,0.248176999969166,0.141051343343399,0.138880310918174,0.11207577050354,0.133166608643851,0.082483297135274,0.140254700100677,0.216435962789849,0.223127379082398,0.235949317515361,0.174724455598108,0.166499157683717,0.368367047979413,0.150869225039172,0.268632779349581,0.211964639551459,0.112645233126662,0.0871055457410571,0.0306512628516238,-0.114756013005595,0.302637118339394,-0.111855026387921,0.0593089530735349,0.327231510947569,0.280773971015003,0.363154777807367,0.44999685807214,0.138658690636757,0.241460679759033,0.227996669788943
"SL356005",3.13957044476465e-08,1.49182787107582e-09,2.4312982023184e-09,3.15052714832601e-09,3.03593916595155e-09,1.86849840115679e-09,3.11022719332973e-09,1.59965114374818e-09,8.97825956935341e-10,2.00284708888081e-08,1.52059663481621e-09,1.8836776499693e-06,1.539170317974e-09,1.54934402535119e-09,2.34664072236768e-09,0.158573759733938,0.107570461965227,0.212217379974397,0.144131747770165,0.12439438652015,0.202763859023041,0.0954772534697045,0.168328526213643,0.0454421839644373,0.037730119187462,0.0412790263663319,0.0849866461095789,0.00148949140337082,0.120576454350428,0.115978613104647,0.12435160773386,0.182910541676138,0.151810896020403,0.140433580277092,0.310783837961011,0.106830980973088,0.172209840157892,0.182051783044711,-0.0598648255398702,0.0138630223834044,-0.0110647808874286,-0.223178325658912,0.230482377579428,-0.291456307976192,-0.0721252731824468,0.175177811372443,0.201052564472823,0.264335101168901,0.433815620817103,0.119989861590874,0.226631929053115,0.204311316952559
"SL356021",4.56436777424674e-09,1.49182796078224e-09,2.43129834851695e-09,1.42835378705438e-09,3.03593934850829e-09,1.86849851351312e-09,1.21535319582379e-09,1.71110708435085e-08,8.97826010923308e-10,7.92533796922196e-10,1.52059672625255e-09,9.04582324619363e-06,1.53917041052721e-09,1.54934411851617e-09,1.06389597830663e-09,0.16721569832822,0.112919384513014,0.289153519239436,0.207829366505836,0.214741961901391,0.293647262069704,0.227886787151403,0.276696836252905,0.165571633231509,0.164727756265328,0.074907997647756,0.112537975704231,0.0962812026317443,0.0725793278768816,0.205793992750123,0.235926541275445,0.212423479183911,0.167187868191914,0.206290003512936,0.382984671790014,0.192981307754314,0.282253958196752,0.16208030693294,0.0976255486090016,0.0306627484585614,-0.0120577435269326,-0.124706077154757,0.309792404440109,0.0430471394325511,0.0372309043112895,0.337682767989667,0.307398850793771,0.242589477345576,0.442417167075274,0.158595104394632,0.324297665647677,0.295510322767418
