"","Non-Responder","Responder","p","test"
"n","32","39","",""
"Age (mean (SD))","57.48 (15.85)","58.62 (13.93)","0.748",""
"Sex = Male (%)","18 (56.2)","24 (61.5)","0.835",""
"Race = White (%)","32 (100.0)","39 (100.0)","NA",""
"IO (%)","","","0.003",""
"   Atezolizumab","1 (3.1)","0 (0.0)","",""
"   Ipilimumab","6 (18.8)","16 (41.0)","",""
"   Ipilimumab+Nivolumab","6 (18.8)","1 (2.6)","",""
"   Nivolumab","11 (34.4)","4 (10.3)","",""
"   Pembrolizumab","8 (25.0)","18 (46.2)","",""
"PFS (mean (SD))","10.82 (6.23)","49.58 (19.24)","<0.001",""
