Sample_ID,Debaryomyces hansenii,Delftia lacustris,Enterobacter hormaechei,Fusobacterium nucleatum,Mannheimia sp. USDA-ARS-USMARC-1261,Mollivirus sibericum,Moraxella osloensis,Myroides profundi,Nocardia mangyaensis,Plasmodium sp. gorilla clade G2,Porphyromonas asaccharolytica,Proteus virus Isfahan,Pseudomonas fluorescens,Snyder-Theilen feline sarcoma virus,Theileria annulata
SL251102,1.0397113023744e-8,1.6258192306001602e-9,2.35043773366121e-9,3.85885907910596e-8,3.0881024580339603e-9,2.09981519526243e-9,1.4388749273404802e-9,7.827291654111391e-9,1.37739757379964e-9,9.16907972300991e-10,1.67273266873378e-8,2.0466537936194e-7,1.57486453920265e-9,1.66904753907424e-9,1.19744126071356e-9
SL257956,1.03971132400217e-8,1.6258192644199801e-9,2.35043778255433e-9,1.8657683485815e-9,3.08810252227178e-9,2.09981523894218e-9,1.4388749572715402e-9,3.30792111202439e-8,1.75433360824964e-8,9.169079913742461e-10,1.69719838058127e-9,9.53678106866372e-7,1.5748645719625302e-9,1.6690475737932802e-9,1.1974412856223901e-9
SL271795,1.03971331567566e-8,1.6258223788432302e-9,2.35044228505854e-9,1.8657719226517902e-9,3.08810843784831e-9,2.09981926135324e-9,1.4388777135838301e-9,1.49715859152147e-9,1.3774002409979902e-9,9.16909747805375e-10,1.69720163173853e-9,9.53679933734422e-7,1.57486758877685e-9,1.6690507710247902e-9,1.19744357944376e-9
SL310764,1.6524343494838101e-9,1.60348774370963e-9,1.6874077751239902e-9,1.49115752791889e-9,1.6557626323697602e-9,1.6092251169834702e-9,1.5360041433304102e-9,1.4993890169685902e-9,1.6031934828637701e-9,1.84940010218453e-9,1.6361022325145e-9,2.18201269470644e-5,1.5843539627372402e-9,1.5960380176553601e-9,1.4931454460968601e-9
SL310813,7.51551687184528e-9,1.4666652746416401e-9,2.27141307185366e-9,2.01979093269859e-8,2.8904996793633e-9,2.6358781967579703e-9,9.46937142478033e-9,1.6818563267513201e-9,8.82844378617846e-10,1.96682940906832e-8,3.11176451142591e-9,1.95873533842219e-6,7.135792098367881e-9,1.5303211038252402e-9,4.94043593718386e-9
SL319197,3.58632576318965e-8,1.49182554535026e-9,2.4312944119800803e-9,1.428351474394e-9,3.0359344329917803e-9,1.86849548821049e-9,1.21535122803458e-9,1.03093671157928e-8,1.48021513658846e-7,3.9138794470368306e-9,1.5205942642408102e-9,8.02290730246614e-7,1.53916791844266e-9,1.5493416099592701e-9,8.359268457469071e-9
SL337466,3.32991337855773e-8,1.6258215281896e-9,2.3504410552733603e-9,5.975549983735811e-9,3.08810682210561e-9,3.6915355422667204e-9,1.4388769607423402e-9,4.794983721536951e-9,1.37739952032239e-9,3.41231386240551e-8,1.6972007437382501e-9,5.24600567329722e-8,1.5748667647835e-9,1.6690498977534402e-9,1.19744295292408e-9
SL337489,4.56434621062318e-9,1.4918209128802802e-9,2.4312868622378e-9,1.4283470390259702e-9,3.0359250056997103e-9,1.86848968609155e-9,1.21534745408252e-9,1.17449479104305e-8,8.97821769288302e-10,5.818935984112631e-9,1.5205895424371802e-9,4.04247311444083e-7,1.5391631389634401e-9,1.54933679888835e-9,1.0638909521006901e-9
SL356005,3.13957044476465e-8,1.4918278710758202e-9,2.4312982023184e-9,3.1505271483260104e-9,3.03593916595155e-9,1.86849840115679e-9,3.1102271933297304e-9,1.5996511437481802e-9,8.97825956935341e-10,2.00284708888081e-8,1.52059663481621e-9,1.8836776499693e-6,1.539170317974e-9,1.54934402535119e-9,2.3466407223676804e-9
SL356021,4.56436777424674e-9,1.4918279607822401e-9,2.4312983485169503e-9,1.4283537870543801e-9,3.03593934850829e-9,1.86849851351312e-9,1.21535319582379e-9,1.71110708435085e-8,8.97826010923308e-10,7.92533796922196e-10,1.52059672625255e-9,9.04582324619363e-6,1.5391704105272101e-9,1.5493441185161702e-9,1.06389597830663e-9
SL356038,1.0397129434145e-8,1.6258217967303402e-9,2.3504414435012e-9,1.8657712546268602e-9,3.0881073321754204e-9,2.0998185095295e-9,1.4388771984050101e-9,2.73419872091367e-8,1.37739974783069e-9,2.02588413408071e-8,1.6972010240688602e-9,5.24600653979224e-8,1.32730745255132e-8,1.66905017343431e-9,1.19744315070852e-9
SL359722,9.45550449259449e-8,1.62583286979185e-9,2.35045745176406e-9,1.8657839619235e-9,3.08812836449428e-9,2.0998328108628702e-9,1.4388869982340902e-9,2.73421734285039e-8,1.37740912895238e-9,9.169156643514741e-10,1.6972125832762501e-9,2.0466709632425e-7,1.5748777509293502e-9,1.6690615409133702e-9,1.1974513061913e-9
SL362815,1.03971066158125e-8,1.6258182285779502e-9,2.3504362850433102e-9,1.69678080100318e-8,3.0881005547797704e-9,2.0998139011078e-9,1.4388740405354702e-9,1.4971547696984802e-9,1.3773967248842501e-9,3.7217587479135e-9,1.69719729926217e-9,2.04665253222913e-7,1.57486356858475e-9,1.6690465104096202e-9,1.19744052270854e-9
